"","X","text1","text2","AoA_Est_Word1","AoA_Est_Word2","recognizability_word1","recognizability_word2","AoA_Word1_WB","AoA_Word2_WB","cor","animacy","wordPairing","section"
"1",1,"turkey","swan",3.95,6.31763,0.714,0.857,28,NA,0.81002739111313,1,"easy","sample1"
"2",2,"turtle","horse",4.17,4.15,0.846,0.9375,24,22,0.829943892616427,1,"easy","sample1"
"3",3,"cheese","mud",4.33,4.05,0.4375,0.75,19,NA,0.807120908420862,0,"easy","sample1"
"4",4,"squirrel","eagle",4.44,5.83,0.714,0.933,26,NA,0.829295537867302,1,"easy","sample1"
"5",5,"potato","glasses",4.84,4.346085,1,1,26,25,0.748706532324506,0,"easy","sample1"
"6",6,"bulldozer","orange",5.61,3.26,0.625,1,NA,NA,0.676481922158867,0,"easy","sample1"
"7",7,"snail","cow",5.79,3.94,1,1,NA,21,0.763846896622552,1,"easy","sample1"
"8",8,"acorn","key",5.95,3.58,1,1,NA,NA,0.759918872230142,0,"easy","sample1"
"9",9,"turkey","goat",3.95,5.21,0.714,0.944,28,NA,0.843933749023628,1,"hard","sample1"
"10",10,"turtle","frog",4.17,4.32,0.846,1,24,23,0.876968665571386,1,"hard","sample1"
"11",11,"cheese","butter",4.33,5.78,0.4375,0.7,19,26,0.888976421471292,0,"hard","sample1"
"12",12,"squirrel","monkey",4.44,4.21,0.714,0.823,26,22,0.87317787713891,1,"hard","sample1"
"13",13,"potato","pot",4.84,5.95,1,0.235,26,NA,0.892743206432639,0,"hard","sample1"
"14",14,"bulldozer","tractor",5.61,5.5,0.625,0.923,NA,26,0.843374916351666,0,"hard","sample1"
"15",15,"snail","worm",5.79,3.89,1,0.923,NA,NA,0.8666621844034,1,"hard","sample1"
"16",16,"acorn","coconut",5.95,6.5,1,1,NA,NA,0.840463717341016,0,"hard","sample1"
"17",NA,"balloon","dresser",4.37,4.28,NA,NA,NA,NA,NA,0,"easy","sample2"
"18",NA,"balloon","kite",4.37,4.58,NA,NA,NA,NA,NA,0,"hard","sample2"
"19",NA,"bathtub","sock",3.22,2.94,NA,NA,NA,NA,NA,0,"easy","sample2"
"20",NA,"bathtub","shower",3.22,4.72,NA,NA,NA,NA,NA,0,"hard","sample2"
"21",NA,"camel","ladybug",5.11,4.84,NA,NA,NA,NA,NA,1,"easy","sample2"
"22",NA,"camel","elephant",5.11,4.8,NA,NA,NA,NA,NA,1,"hard","sample2"
"23",NA,"cloud","zipper",3.63,5,NA,NA,NA,NA,NA,0,"easy","sample2"
"24",NA,"cloud","tree",3.63,3.57,NA,NA,NA,NA,NA,0,"hard","sample2"
"25",NA,"crow","seahorse",5.74,5.83,NA,NA,NA,NA,NA,1,"easy","sample2"
"26",NA,"crow","penguin",5.74,5.68,NA,NA,NA,NA,NA,1,"hard","sample2"
"27",NA,"duck","butterfly",3.5,3.67,NA,NA,NA,NA,NA,1,"easy","sample2"
"28",NA,"duck","chicken",3.5,3.26,NA,NA,NA,NA,NA,1,"hard","sample2"
"29",NA,"lizard","walrus",5.42,5.06,NA,NA,NA,NA,NA,1,"easy","sample2"
"30",NA,"lizard","snake",5.42,5.1,NA,NA,NA,NA,NA,1,"hard","sample2"
"31",NA,"truck","airplane",3.79,3.94,NA,NA,NA,NA,NA,0,"easy","sample2"
"32",NA,"truck","car",3.79,3.37,NA,NA,NA,NA,NA,0,"hard","sample2"
